"edad","sexo","nrodepen","fonopart","fonolab","autovaluo","esaval","tieneaval","antiguedad","tiporenta","dpto","morosidad"
44,"F",3,"Si","Si","No","No","No",63,"Fijo","Lima","No Moroso"
77,"F",4,"Si","Si","No","No","Si",62,"Fijo","Lima","Moroso"
59,"F",5,"No","No","No","Si","No",59,"Fijo","Lima","Moroso"
35,"F",5,"No","Si","No","No","No",58,"Fijo","Lima","Moroso"
65,"F",0,"Si","No","No","Si","No",56,"Fijo","Lima","No Moroso"
66,"M",1,"Si","Si","Si","Si","Si",54,"Fijo","Lima","No Moroso"
73,"M",5,"Si","No","No","No","No",53,"Fijo","Lima","Moroso"
73,"F",0,"No","No","No","Si","Si",53,"Fijo","Lima","No Moroso"
74,"F",0,"Si","No","No","Si","No",53,"Fijo","Lima","No Moroso"
75,"F",1,"No","No","No","No","No",53,"Fijo","Lima","Moroso"
52,"M",0,"Si","No","No","No","No",52,"Variable","Lima","No Moroso"
76,"M",0,"Si","Si","Si","No","Si",52,"Fijo","Lima","No Moroso"
60,"F",0,"Si","Si","Si","Si","No",51,"Fijo","Lima","No Moroso"
61,"F",0,"Si","No","No","No","No",51,"Fijo","Lima","No Moroso"
69,"M",0,"Si","Si","No","Si","Si",51,"Fijo","Lima","No Moroso"
72,"F",5,"Si","No","No","No","No",51,"Fijo","Lima","Moroso"
73,"F",4,"No","Si","No","No","No",51,"Fijo","Lima","Moroso"
73,"F",0,"Si","Si","No","No","No",51,"Fijo","Lima","No Moroso"
68,"F",1,"Si","No","Si","Si","No",50,"Fijo","Lima","No Moroso"
73,"F",1,"No","Si","No","No","Si",50,"Fijo","Lima","No Moroso"
76,"M",0,"No","Si","No","Si","No",50,"Fijo","Lima","No Moroso"
61,"F",0,"No","No","No","No","No",49,"Fijo","Lima","No Moroso"
61,"F",0,"Si","Si","No","Si","No",49,"Fijo","Lima","No Moroso"
74,"F",0,"No","No","No","No","No",49,"Fijo","Lima","No Moroso"
75,"F",1,"Si","No","No","Si","Si",49,"Fijo","Lima","No Moroso"
68,"F",3,"No","Si","No","Si","No",48,"Fijo","Lima","No Moroso"
69,"F",3,"Si","Si","No","Si","Si",48,"Fijo","Lima","No Moroso"
69,"M",1,"Si","No","No","No","Si",48,"Fijo","Lima","No Moroso"
61,"F",1,"Si","No","No","No","No",47,"Fijo","Lima","No Moroso"
66,"F",0,"Si","Si","No","Si","No",47,"Fijo","Lima","No Moroso"
